instance_id,isbn,hit_ndl_search,locate_now,locate_init,count_lent,own_category_id
190930_133158,9784396616786,FALSE,HQ-7F-W07,HQ-7F-W07,13,5
190930_133217,9784396616786,TRUE,HQ-7F-W07,HQ-7F-W07,1,5
190930_133240,9784396616786,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
190930_133258,9784396616786,TRUE,HQ-13F-E07,HQ-13F-E07,12,5
190930_133313,9784396616786,TRUE,ATG-105G-5F,HQ-13F-E07,0,5
190930_133343,9784582856040,TRUE,HQ-7F-W07,HQ-7F-W07,1,3
190930_133437,9784334031251,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
190930_133448,9784087202182,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
190930_133501,9784827550191,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
190930_133526,9784140884676,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
190930_133541,9784022731975,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_133551,9784048688659,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_133617,9784163903897,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_133633,9784596551078,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_133649,9784762820588,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
190930_133719,9784040667959,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_133741,9784309503356,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
190930_134352,9784582858211,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
190930_134419,9784121018182,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
190930_134530,9784896915495,TRUE,HQ-7F-W07,HQ-7F-W07,0,2
190930_134641,9784166605583,TRUE,HQ-5F-CART,HQ-7F-W07,0,3
190930_134655,9784004305934,TRUE,HQ-7F-W07,HQ-7F-W07,0,1
190930_134707,9784582857412,TRUE,HQ-7F-W07,HQ-7F-W07,0,7
190930_134723,9784797337662,TRUE,HQ-7F-W07,HQ-7F-W07,0,0
190930_134739,9784798029429,TRUE,HQ-7F-W07,HQ-7F-W07,0,5
190930_135457,9784890780334,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_135517,9784106106408,TRUE,HQ-7F-W07,HQ-7F-W07,0,3
190930_135537,9784121023612,TRUE,HQ-7F-W07,HQ-7F-W07,0,6
