isbn,title,author,publisher,issue_year,price,category_id,thumbnail
0021782423831,LANケーブル　3m　C-SC002-3,***No Record***,***No Record***,***No Record***,,17,
0073411107552,ACアダプター　Type-C　30W B-A013-1,PORTみなとみらい,ELECOM,2021,,20,
0097444847332,剛拳児12,松田隆智・藤原芳秀,天下人出版社,***No Record***,,12,
0118271646032,HDMIケーブル1m  C-SC-001-1,PORT,***No Record***,***No Record***,,17,
01585,アントレ 2013-11 ４０・５０代から始める「第二の仕事人生」,編集部,リクルートホールディングス,2013,,10,
0238058573309,マイクスピーカー,PORT品川,Jabra,2018,,17,
0270519482434,2017年度基幹技術研修　UIA　Deep Learning中級1--実践学習テクニック--,人材開発部,人事センター,2017,,16,
0295855003922,2017年度基幹技術研修 WCB　無線実装技術入門--無線技術商品化/認証の実際--,人材開発部,人事センター,2017,,16,
0298212922767,HDMIケーブル 5m B-A017-2,PORTみなとみらい,ELECOM,2021,,20,
0320076919672,2017年度基幹技術研修　QCT　Quick DRセミナー,人材開発部,人事センター,2017,,16,
0321590046851,2017年度基幹技術研修　QCT　2017年度基幹技術研修　QCT　HALT(Hightly Accelerated Limit Test)を知る--「壊れてから考える」から「壊して考える」へ--,人材開発部,人事センター,2017,,16,
0337939322889,2017年度基幹技術研修 WCB　アンテナ・電波伝搬,人材開発部,人事センター,2017,,16,
03423-2006-11,月刊　現代 ソニーは復活できるのか－カギは「厚木」にあり－立石泰則,編集部,講談社,2006,,10,
03423-2006-12,月刊　現代 IQ130 天才少年が「父親殺害」を決断するまで,編集部,講談社,2006,,10,
03557- 2013-66-,警察學論集　第66巻第11号 2013-66 警察における女性の視点の一層の反映に向けて,編集部,***No Record***,2013,,10,
03557-2013-66,警察學論集 2013-66 警察における女性の視点の一層の反映に向けて,編集部,立花書房,2013,,10,
0370208279746,アイデア・エンジニア　企業にとって創造性開発とは何か,柏原学,プレジデント社,1977,,19,
0372313490706,電源タップ3個口 0.3m　B-A020-1,PORTみなとみらい,ELECOM,2021,,20,
03854,国民衛生の動向・厚生の指標 2011-08 Vol.58 No.9 2011/2012,編集部,一般財団法人　厚生労働統計協会,2011,,10,
0398872652558,2017年度基幹技術研修 SFT　BizTechture研修：マネジメント篇--イノベーションのマネジメント（ソニー用処方箋）--,人材開発部,人事センター,2017,,16,
0411396244044,The Supply Management Leadership Process,Anna E.Flynn Sam Farney,"Insutitute for Supply Management, Inc",2000,,6,
0421269416608,Logicool製MEETUP　C-SC018-1,***No Record***,***No Record***,***No Record***,,17,
0465448835903,日本その日その日3,E・S・モース　石川欣一訳,株式会社平凡社,1971,,12,
0472335252081,ヘッドセット　USB接続 B-A011-1,PORTみなとみらい,logicool,2021,,20,
04906,新建築 2015-06 別冊　TOKYO 150 Projects 多様な都市マネジメント,編集部,株式会社新建築社,2015,,10,
0501913569778,2017年度基幹技術研修　UIA　次世代ユーザーインターフェース技術--社内外の最先端UI詳解--,人材開発部,人事センター,2017,,16,
0592384280198,THE 世界一展　極める日本！モノづくり,日本科学未来館　株式会社ギャップジャパン,日本科学未来館,2014,,6,
0594308695659,2017年度基幹技術研修　MLA　ソニーエージェントを支える音声処理技術--音声信号処理技術、音声認識技術、発話意味解析技術--,人材開発部,人事センター,2017,,16,
05969-2012-04,Harvard Business Review 絆の経営　現場を結束させる力,編集部,株式会社　ダイヤモンド社,2012,,10,
05969-2012-08,Harvard Business Review イノベーション実践論,編集部,株式会社　ダイヤモンド社,2012,,10,
05969-2013-06,Harvard Business Review 破壊的イノベーション,編集部,株式会社　ダイヤモンド社,2013,,10,
05969-2013-10,Harvard Business Review 顧客を読むマーケティング,編集部,株式会社　ダイヤモンド社,2013,,10,
05969-2014-01,Harvard Business Review 人を動かす力　読者が選ぶベスト経営書2013,編集部,株式会社　ダイヤモンド社,2014,,10,
05969-2014-07,Harvard Business Review 良い価格悪い価格,編集部,株式会社　ダイヤモンド社,2014,,10,
05969-2014-08,Harvard Business Review 行動観察Xビッグデータ,編集部,株式会社　ダイヤモンド社,2014,,10,
05969-2014-09,Harvard Business Review 一流に学ぶハードワーク,編集部,株式会社　ダイヤモンド社,2014,,10,
05969-2014-10,Harvard Business Review 2020年のマーケティング,編集部,株式会社　ダイヤモンド社,2014,,10,
05969-2015-11,Harvard Business Review 人工知能　機械といかに向き合うか,編集部,株式会社　ダイヤモンド社,2015,,10,
0608728669131,マルチポートアダプタUSB-C to Digital AV,***No Record***,***No Record***,***No Record***,,17,
06125,治療 2014-12 ポリファーマシー　不要な薬に立ち向かう,編集部,南山堂,2014,,10,
