gid,location
0000130286,PORT みなとみらい
0000860518,HQ-19F-HR
0041007095,PORT みなとみらい
0064015101,PORT みなとみらい
9004063677,PORT 品川
9004067610,PORT 品川
9004069475,PORT 品川
ZP00001869,PORT 品川
ZP10013719,PORT みなとみらい
ZP10015795,PORT 品川
ZP10018896,PORT みなとみらい
ZP10020201,PORT みなとみらい
ZP10022162,PORT 品川
9004051475,ATG-CP-BF1
0000143128,ATG-CP-BF1
0000131024,ATG-CP-BF1
0000120086,ATG-CP-BF1
0000132592,ATG-CP-BF1
0000143246,ATG-CP-BF1
0000130005,ATG-CP-BF1
ZP10019446,PORT 品川
0000922464,ATG-105G-5F
0000950235,ATG-105G-5F
ZP10017708,ATG-CP-BF1
ZP10017398,ATG-CP-BF1
ZP10024241,ATG-CP-BF1
ZP10011719,PORT みなとみらい
0000920442,HQ-7F-W07
ZP10010886,PORT 品川
ZP10026187,ATG-CP-BF1
0000111054,PORT 品川
0000046978,PORT 品川
9004095350,SCMM-18F-S12
0000131755,SCMM-18F-S12
0108405203,SCMM-18F-S12
0107403312,SCMM-18F-S12
0108405231,SCMM-18F-S12
0108409728,SCMM-18F-S12
ZP10024058,PORT 品川
